АБАЖУР 	Колпак для лампы, светильника
МЕХАНИЦИЗМ 	Философское направление, сводящее все многообразие мира к механическому движению однородных частиц материи, а сложные закономерности развития - к законам механики
МЕХОВЩИК 	Специалист по обработке мехов, а также (устар.) торговец мехами
МЕЦЕНАТ 	Богатый покровитель наук и искусств; вообще тот, кто покровительствует какому-н. делу, начинанию
МЕЦЦО-СОПРАНО 	Женский голос, средний по высоте между сопрано и контральто
МЕЧ 	Холодное оружие с обоюдоострым длинным прямым клинком
МЕЧ-РЫБА 	Крупная морская рыба с похожим на меч отростком на вытянутой верхней челюсти
МЕЧЕНОСЕЦ 	В средние века: воин, вооруженный мечом, а также слуга рыцаря, носящий за ним его меч
МЕЧЕТЬ 	Мусульманский храм
МЕЧТА 	Нечто, созданное воображением, мысленно представляемое
МЕЧТАНИЕ 	То же, что мечта
МЕЧТАТЕЛЬ 	Человек, к-рый предается мечтам, склонен к мечтательности
МЕШАЛКА 	Палка или какой-н. предмет, к-рым перемешивают что-н
МЕШКОВИНА 	Грубая ткань для мешков
МЕШОК 	Сделанное из мягкого материала вместилище для чего-н. сыпучего, для различных мелких предметов
МЕШОЧНИК 	Человек, занимающийся скупкой, перевозкой вручную и продажей каких-н. товаров [первонач. о том, кто в голодные годы скупал и перевозил хлеб в мешках]
МЕЩАНИН 	В царской России: лицо податного сословия, состоящего из мелких домовладельцев, торговцев, ремесленников
МЕЩАНСТВО 	В царской России: сословие мещан, мещанское звание
МЗДА 	Награда, плата (устар.), а также (ирон.) взятка
МЗДОИМЕЦ 	Стяжатель, взяточник
МИГ 	Мгновение, очень короткий промежуток времени
МИГАЛКА 	Яркий мигающий фонарь
МИГРАЦИЯ 	Переселение, перемещение (о многих, многом)
МИГРЕНЬ 	Приступы боли в одной половине головы
МИДИЯ 	Съедобный двустворчатый морской моллюск
МИЗАНСЦЕНА 	Размещение актеров и сценической обстановки в разные моменты исполнения пьесы
МИЗАНТРОП 	Человек, склонный к мизантропии
МИЗАНТРОПИЯ 	Нелюбовь, ненависть к людям, отчуждение от них
МИЗИНЕЦ 	Пятый, самый маленький палец на руке, на ноге
МИКРОБИОЛОГ 	Специалист по микробиологии
МИКРОБИОЛОГИЯ 	Раздел биологам, изучающий микроорганизмы
МИКРОКЛИМАТ 	Особенности климата на небольшом участке земной поверхности или искусственно созданные в закрытом помещении
МИКРОМЕТР 	Инструмент для точных измерений линейных размеров
МИКРОН 	Единица длины - миллионная часть метра
МИКРООРГАНИЗМ 	Мельчайший, преимущественно одноклеточный животный или растительный организм, различимый лишь в микроскоп
МИКРОПРОЦЕССОР 	Программно управляемое устройство обработки информации, применяемое в микроЭВМ, системах автоматического управления
МИКРОСКОП 	Увеличительный прибор для рас.
МИКРОФОН 	Прибор, преобразующий звуковые колебания в электрические для усиления звучания
МИКСЕР 	То же, что
МИКСТУРА 	Жидкое лекарство из
МИЛАШКА 	Милый, симпатичный человек
МИЛЕДИ 	У англичан: почтительное обращение к замужней женщине из привилегированных классов
МИЛИТАРИЗМ 	Политика усиления военной мощи, наращивания вооружений и активизации военных приготовлений
МИЛИТАРИСТ 	Сторонник милитаризма
МИЛИЦИОНЕР 	Рядовой или сержант милиции
МИЛЛИАРД 	Число и количество, равное тысяче миллионов
МИЛЛИАРДЕР 	Обладатель богатства, оцениваемого в миллиарды (ка-ких-н. денежных единиц.)
МИЛЛИГРАММ 	Одна тысячная доля грамма
МИЛЛИМЕТР 	Одна тысячная доля метра
МИЛЛИМЕТРОВКА 	Чертежная бумага, размеченная на клетки в один квадратный миллиметр
МИЛЛИОН 	Число и количество, равное тысяче тысяч
МИЛЛИОНЕР 	Обладатель доходов, богатства, исчисляемых миллионами денежных единиц
МИЛОРД 	У англичан: почтительное обращение к мужчине из привилегированных классов
МИЛОСЕРДИЕ 	Готовность помочь кому-н. или простить кого-н. из сострадания, человеколюбия
МИЛОСТЫНЯ 	То, что подается нищему, подаяние
МИЛОСТЬ 	Доброе, человеколюбивое отношение
МИЛОЧКА 	Ласковое обращение к женщине, девочке
МИЛЯ 	Путевая мера длины, различная в разных странах
МИЛЯГА 	Милый человек, располагающее к себе существо
МИМ 	Артист - исполнитель пантомимы
МИМИКА 	Движения лица, выражающие внутреннее душевное состояние
МИМИКРИЯ 	У нек-рых животных и растений: сходство окраски и формы с окружающей средой, способствующее им в борьбе за существование
МИМИСТ 	Артист, искусно владеющий мимикой
МИМОЗА 	Южное растение (травы, кустарники, деревья), нек-рые виды к-рого известны тем, что свертывают листья при прикосновении к ним
МИНАРЕТ 	Башня при мечети, с к-рой муэдзин призывает на молитву
МИНДАЛЬ 	Южное дерево или кустарник сем. розоцветных, с плодами - светлыми удлиненными орехами, а также сами орехи
МИНЕР 	Военнослужащий саперных частей - специалист по минированию и разминированию
МИНЕРАЛ 	Естественное неорганическое образование кристаллической структуры, приблизительно однородное по химическому составу и физическим свойствам, залегающее в глубинах или на поверхности Земли и обычно служащее предметом добычи как полезное ископаемое
МИНЕРАЛКА 	Столовая минеральная вода
МИНЕРАЛОГ 	Специалист по минералогии
МИНЕРАЛОГИЯ 	Наука о минералах
МИНЕЯ 	Православная богослужебная книга, содержащая молитвы, песнопения, повествования о жизни святых и службы, расположенные по месяцам и дням года
МИНИСТЕРСТВО 	Центральное правительственное учреждение, ведающее какой-н. отраслью управления
МИНОМЕТ 	Артиллерийское орудие навесного огня, стреляющее минами
МИНОМЕТЧИК 	Военнослужащий минометных частей и подразделений
МИНОНОСЕЦ 	Военный корабль с сильным торпедным вооружением предшественник э.
МИНОР 	Музыкальный лад грустной, скорбной окраски, аккорд к-рого строится на малой терции (спец.)
МИНОТА 	Низшее водное позвоночное животное со змеевидным телом
МИНУТА 	Единица времени, равная 1/60 часа и состоящая из 60 секунд; промежуток времени такой протяженности
МИОМА 	Доброкачественная опухоль из мышечной ткани
МИРАБЕЛЬ 	Сорт мелкой кисловатой сливы
МИРАЖ 	Оптическое явление появление в атмосфере мнимых изображений отдаленных предметов
МИРО 	Деревянное масло с красным вином и благовониями, употр. в христианских обрядах
МИРОВАЯ 	Полюбовное соглашение, разрешение спора, тяжбы без суда
МИРОВОЗЗРЕНИЕ 	Система взглядов, воззрений на природу и общество
МИРОВОСПРИЯТИЕ 	То или иное восприятие мира1, действительности
МИРОЕД 	То же, что кулак2
МИРОЗДАНИЕ 	То же, что мир1
МИРОЛЮБИЕ 	Стремление к сохранению мира2, мирных отношений
МИРООЩУЩЕНИЕ 	Отношение человека к окружающей действительности, обнаруживающееся в его настроениях, чувствах, поступках
МИРОПОМАЗАНИЕ 	Христианское таинство - обряд помазания миром лица, глаз, ушей, груди, рук, ног в знак приобщения к божественной благодати
МИРОПОНИМАНИЕ 	То или иное понимание мирадействительности, система взглядов, идей
МИРОСОЗЕРЦАНИЕ 	Совокупность взглядов на мир, на действительность, миропонимание
МИРОТВОРЕЦ 	Военнослужащий, в составе своей части введенный в ка-кую-н. страну для устранения междуусобицы, установления мира
МИРРА 	Ароматическая
МИРЯНИН 	Человек, живущий в миру(в 6 знач.)
МИСКА 	Посуда в форме маленького таза1
МИСС 	В англоговорящих странах: вежливое обращение к девушке (обычно перед именем, фамилией)
МИССИС 	В англоговорящих странах: вежливое обращение к замужней женщине (обычно перед именем, фамилией)
МИССИЯ 	Ответственное задание, роль, поручение (книжн.)
МИСТЕРИЯ 	В Западной Европе: средневековая драма на библейские темы, сопровождавшаяся интермедиями
МИСТИК 	Человек, к-рый склонен к мистике, к религиозно-мистическому миросозерцанию
МИСТИКА 	Вера в божественное, в таинственный, сверхъестественный мир и в возможность непосредственного общения с ним
МИСТИФИКАЦИЯ 	Намеренное введение в обман, в заблуждение
МИСТИЦИЗМ 	Мистическое мировоззрение, склонность к мистике
МИСТРАЛЬ 	На юге Франции: сильный северо-западный ветер
МИТИНГ 	Массовое собрание для обсуждения политических, злободневных вопросов
МИТКАЛЬ 	Неотделанная тонкая хлопчатобумажная ткань полотняного переплетения
МИТРА 	Позолоченный головной убор, надеваемый во время богослужения представителями высшего православного духовенства и нек-рыми заслуженными священниками
МИТРОПОЛИТ 	Высшее почетное звание (духовный сан) архиерея, а также архиерей, имеющий это звание
МИТРОФАНУШКА 	Великовозрастный неуч [по имени героя комедии Фонвизина "Недоросль"]
МИФ 	Древнее народное сказание о легендарных героях, богах, о явлениях природы
МИФОЛОГИЯ 	Совокупность мифов
МИЧМАН 	В военно-морском флоте: воинское звание лиц, добровольно проходящих службу сверх установленного срока, а также лицо (помощник офицера), имеющее это звание
МИЧМАНКА 	Род форменной фуражки
МИШКА 	То же, что медведь
МИШУРА 	Металлические, посеребренные или позолоченные нити, идущие на изготовление галунов, парчовых тканей
МЛАДЕНЧЕСТВО 	Ранний детский возраст
МЛАДОСТЬ 	То же, что молодость
МЛЕКО 	То же, что молоко
МЛЕКОПИТАЮЩИЕ 	Класс высших позвоночных животных, выкармливающих детенышей своим молоком
МНЕМОНИКА 	Совокупность правил и приемов, помогающих запоминать нужные сведения
МНЕНИЕ 	Суждение, выражающее оценку чего-н., отношение к кому-чему-н., взгляд на что-н
МНОГОБОЖИЕ 	Вера во многих богов, политеизм; противоп. единобожие
МНОГОБОРЬЕ 	Спортивное состязание по нескольким видам спорта или по нескольким видам упражнений в одном виде спорта
МНОГОБРАЧИЕ 	Форма официального брака, при к-рой мужчина имеет несколько жен, а женщина - несколько мужей, полигамия
МНОГОВЛАСТИЕ 	То же, что многоначалие
МНОГОВОДЬЕ 	Избыток воды в реке, водоеме
МНОГОГЛАГОЛАНИЕ 	То же, что многословие
МНОГОГОЛОСИЕ 	Музыкальный склад, основанный на одновременном сочетании в произведении нескольких самостоятельных мелодий, голосов или на сочетании мелодии с аккомпанементом
МНОГОГРАННИК 	Геометрическое тело, ограниченное со всех сторон плоскими многоугольниками
МНОГОЖЕНЕЦ 	Мужчина, состоящий в официальном браке одновременно с несколькими женщинами
МНОГОЖЕНСТВО 	Пребывание в официальном браке одновременно с несколькими женщинами
МНОГОЛЕТИЕ 	Провозглашение слов "многая лета" во время церковного богослужения как пожелание долгой жизни и благополучия
МНОГОЛЕТНИК 	Древесное или травянистое растение, живущее более двух лет
МНОГОНОЖКА 	Членистоногое животное с червеобразным телом и большим количеством ножек
МНОГОПОЛЬЕ 	Севооборот, при к-ром многократно чередуются посевы различных культур
МНОГОСЛОВИЕ 	Излишество слов, отсутствие четкости и краткости в речи, в изложении чего-н
МНОГОТИРАЖКА 	Печатная газета предприятия, издающаяся значительным тиражом
МНОГОТОЧИЕ 	Знак препинания в виде трех рядом поставленных точек (.), означающий недоговоренность, возможность продолжения текста
МНОГОЧЛЕН 	Алгебраическое выражение, представляющее сумму или разность нескольких одночленов
МНОЖЕСТВО 	Очень большое количество, число кого-чего-н
МНОЖИТЕЛЬ 	Один из сомножителей
МОБИЛИЗАЦИЯ 	Перевод вооруженных сил из мирного состояния в полную боевую готовность; призыв военнообязанных запаса в армию во время войны; перевод на военное положение экономики и государственных институтов страны
МОБИЛИЗОВАННЫИ 	Человек, призванный в армию по мобилизации
МОГИКАНЕ 	Племя североамериканских индейцев, немногочисленные представители к-рого проживают в США
МОГИЛА 	Яма для погребения тела умершего, а также насыпь на месте погребения
МОГИЛЬНИК 	Древнее кладбище, место захоронения
МОГИЛЬШИК 	Рабочий, занимающийся рытьем и засыпкой могил на кладбище
МОГУЩЕСТВО 	Большая сила, власть, влияние, мощь
МОДА 	Совокупность вкусов и взглядов, господствующих в определенной общественной среде в определенное, обычно недолгое время
МОДЕЛИЗМ 	Изготовление моделей
МОДЕЛИСТ 	Человек, занимающийся изготовлением моделей
МОДЕЛЬ 	Образец какого-н. изделия или образец для изготовления чего-н., а также предмет, с к-рого воспроизводится изображение
МОДЕЛЬЕР 	Специалист по изготовлению моделей одежды
МОДЕЛЬЩИК 	Специалист, изготовляющий модели
МОДЕРНИСТ 	Последователь модернизма
МОДИСТКА 	Мастерица, изготовляющая дамские шляпы, а также портниха
МОДНИК 	Человек, во всем следующий моде, франт
МОЖЖЕВЕЛЬНИК 	Хвойное дерево или кустарник сем. кипарисовых
МОЗАИКА 	Узор из скрепленных друг с другом кусочков
МОЗГ 	Центральный отдел нервной системы человека и животных - нервная ткань, заполняющая череп и канал позвоночника; орган высшей нервной деятельности
МОЗЖЕЧОК 	Участок ствола головного мозга, расположенный в задней части черепной коробки
МОЗОЛЕНОГИЕ 	Отряд копытных млекопитающих-с мозолистыми утолщениями на ступнях: верблюды, ламы и нек-рые другие животные
МОИ 	Принадлежащий мне, имеющий отношение ко мне
МОИВА 	Маленькая рыбка сем. корюшек
МОИКА 	Приспособление, специальное оборудование для мытья чего-н
МОИЩИК 	Рабочий, занимающийся мойкой, мытьем чего-н
МОКАСИНЫ 	Мягкая кожаная обувь североамериканских индейцев
МОКРИЦА 	Живущее в сырых местах мелкое ракообразное животное с большим количеством ножек
МОКРОТА 	Сырость, влажность
МОКРОТА 	Слизистое выделение из дыхательных путей и легких
МОКРЯДЬ 	Сырость, дождливая погода
МОЛВА 	Вести; слухи, толки
МОЛДАВАНЕ 	Народ, составляющий основное коренное население Молдавии (Молдовы)
МОЛЕБЕН 	У христиан" краткое богослужение (о здравии, благополучии или хвалебное)
МОЛЕБСТВИЕ 	То же, что молебен
МОЛЕКУЛА 	Мельчайшая частица вещества, обладающая всеми его химическими свойствами
МОЛЕЛЬНЯ 	Помещение для религаозных собраний, служб и молитв (преимущ. у сектантов, нехристиан), молитвенный (молельный) дом
МОЛЕНИЕ 	Мольба, страстная просьба (книжн.)
МОЛЕСКИН 	Плотная, обычно темная хлопчатобумажная ткань
МОЛИБДЕН 	Химический элемент - твердый блестящий серебристо-белый металл
МОЛИТВА 	В религии: установ-ленный канонический текст, произносимый при обращении к Богу, к святым
МОЛИТВЕННИК 	Сборник молитв
МОЛЛЮСК 	Беспозвоночное, с мягким телом животное, обычно покрытое раковиной
МОЛНИЯ 	Мгновенный искровой разряд в воздухе скопившегося атмосферного электричества
МОЛОДЕЦ 	В народной словесности: удалец, храбрец
МОЛОДЕЦ 	Молодой человек, сильный, крепкого сложения
МОЛОДЕЧЕСТВО 	Удаль, отвага
МОЛОДИЦА 	Молодая женщина
МОЛОДКА 	То же, что молодица
МОЛОДОЖЕНЫ 	Только что поженившиеся супруги, а также (ед.) только что женившийся мужчина
МОЛОДОСТЬ 	Возраст между отечеством и зрелостью; период жизни в таком возрасте
МОЛОДУХА 	Молодая замужняя женщина
МОЛОДЧАГА 	Молодчина, молодец
МОЛОДЧИК 	Человек, обычно молодой, опасный или подозрительный для окружающих
МОЛОДЧИНА 	То же, что молодец
МОЛОЗИВО 	Беловатая жидкость (секрет3), выделяемая грудными железами женщин и самок млекопитающих перед родами и в первые дни после них
МОЛОКАНИН 	Одна из русских сект "духовных христиан", отвергающая священников и церковь и совершающая моления в обычных домах
МОЛОКИ 	Семенные железы и семенная жидкость рыб
МОЛОКО 	Белая жидкость (секрет3), выделяемая грудными железами женщин и самок млекопитающих после родов для вскармливания младенца, детеныша
МОЛОТ 	Большой тяжелый молоток для ручной ковки, дробления камней
МОЛОТИЛКА 	Сельскохозяйственная машина (или часть машины) для молотьбы
МОЛОТИЛЬЩИК 	Работник, занятый молотьбой
МОЛОТОБОЕЦ 	Кузнец, работающий молотом (п 1 знач.)
МОЛОТОК 	Инструмент для забивания, ударов - металлический или деревянный брусок, насаженный под прямым углом на рукоятку
МОЛОТОЧЕК 	Название различных ударных приспособлений в механизмах
МОЛОЧАИ 	Травянистое растение с ядовитым млечным соком
МОЛОЧНАЯ 	Магазин, где продается молоко и молочные продукты
МОЛОЧНИК 	Кувшинчик для молока
МОЛОЧНОСТЬ 	Способность давать то или иное количество молока
МОЛЧАЛЬНИК 	Человек, к-рый дал обет молчания из религиозных побуждений (устар.)
МОЛЧАНКА 	Детская игра, в к-рой проигрывает заговоривший первым
МОЛЧОК 	Полное молчание, а также требование молчать
МОЛЧУН 	Неразговорчивый, молчаливый человек
МОЛЬБА 	Горячая просьба
МОЛЬБЕРТ 	Подставка, на к-рой художник укрепляет подрамник с холстом, доску, картон
МОМЕНТАЛИСТ 	Рисовальщик, фо-тограф, к-рый изготовляет изображение сразу, моментально
МОНАРХИЗМ 	Политическое направление, признающее монархию единственной формой государственной власти
МОНАРХИСТ 	Сторонник монархизма
МОНАРХИЯ 	Форма правления, при к-рой верховная власть принадлежит единоличному (обычно наследственному) правителю, а также государство во главе с таким правителем
МОНАСТЫРЬ 	Религиозная община монахов или монахинь, представляющая собой отдельную церковно-хозяй-ственную организацию
МОНАШЕСТВО 	Монашеская жизнь, монашеское состояние, постриг
МОНГОЛИСТИКА 	То же, что монголоведение
МОНГОЛОВЕДЕНИЕ 	Совокупность наук, изучающих историю, языки, литературу, фольклор монгольских народов
МОНГОЛЫ 	Народ, составляющий основное население Монголии
МОНЕТНИЦА 	Коробочка с отделениями для монет, род кошелька
МОНИЗМ 	Философское направление, признающее, в противоп. дуализму, основой мира одно начало (материю или дух)
МОНИСТО 	Ожерелье из бус, монет, камней
МОНИТОР 	Контролирующее или видеоконтролирующее устройство
МОНОГАМИЯ 	То же, что единобрачие
МОНОГРАММА 	Вязь из двух или более букв
МОНОГРАФИЯ 	Научное исследование, книга, посвященная одному вопросу, теме
МОНОКЛЬ 	Оптический прибор для одного глаза, вставляемый в глазную впадину
МОНОЛИТ 	Цельная каменная глыба, а также предмет, высеченный из нее
МОНОЛОГ 	Речь одного лица, обращенная к слушателям или к самому себе
МОНОПЛАН 	Самолет с одним крылом
МОНОПОЛИСТ 	Тот, кто пользуется монополией
МОНОПОЛИЯ 	Исключительное право на производство или на продажу че-го-н., а также исключительное пользование чем-н
МОНОРЕЛЬС 	Подвесной однорельсовый железнодорожный путь
МОНОТЕИЗМ 	Вера в одно единственное божество, в единого бога, единобожие; противоп. политеизм
МОНОТИП 	Полиграфическая машина, отливающая строку отдельными печатными знаками, ll прил. монотипный, -ая, -ое
МОНПАНСЬЕ 	Сорт леденцов
МОНСТР 	Чудовище, урод
МОНТАЖ 	Соединенные в целое различные части чего-н
МОНТАЖЕР 	Специалист по монтажу (в кинематографии, фотографии)
МОНТАЖИСТ 	Специалист, монтирующий печатный набор, стереотипы, клише
МОНТАЖНИК 	Специалист по монтажу конструкций
МОНТЕР 	Сборщик, установщик машин, механизмов, м.-мвханик
МОНТИРОВЩИК 	Специалист по монтированию, сборке изделий
МОНУМЕНТ 	Архитектурное или скульптурное сооружение в память о каком-н. историческом лице, событии
МОПЕД 	Сокращение: мотоцикл педальный - легкий мотоцикл с педальным приводом
МОПС 	Маленькая комнатная собака, сходная с бульдогом
МОРАЛИСТ 	Человек, любящий морализировать
МОРАЛЬ 	Нравственные нормы поведения, отношении с людьми, а также сама нравственность
МОРАТОРИИ 	Устанавливаемая правительством отсрочка выполнения обязательств на определенный срок или на время действия каких-н. чрезвычайных обстоятельств
МОРГ 	Учреждение или специальное помещение для хранения трупов, их вскрытия и выдачи для захоронения
МОРГУН 	Человек, к-рый часто моргает
МОРДА 	Передняя часть головы животного
МОРДВА 	Народ, составляющий основное коренное население Мордовии
МОРДВИНЫ 	То же, что мордва
МОРДОВОРОТ 	О ком-чем-н. отвратительном, отталкивающем
МОРЕПЛАВАНИЕ 	Плавание по морям, океанам, а также искусство кораблевождения
МОРЕПЛАВАТЕЛЬ 	То же, что моряк
МОРЕТРЯСЕНИЕ 	Сильное колебание морского дна на большой глубине
МОРЕХОД 	В старину: мореплаватель, открыватель морских путей
МОРЕХОДКА 	Мореходное училище
МОРЕХОДНОСТЬ 	Мореходные качества судна
МОРЕХОДСТВО 	То же, что мореплавание
МОРЖ 	Крупное ластоногое морское северное млекопитающее с длинными клыками и усатой мордой
МОРЖИХА 	Самка моржа
МОРЖОНОК 	Детеныш моржа
МОРЗЯНКА 	Телеграфный аппарат, передающий сообщения азбукой Морзе, а также сама эта азбука
МОРИЛКА 	Темная жидкость для пропитывания поверхности дерева с целью окраски
МОРКОВКА 	Один корешок моркови
МОРКОВЬ 	Огородное растение, корнеплод с оранжевым сладковатым утолщенным корнем
МОРМЫШКА 	Искусственная приманка для рыбы, разновидность блесны
МОРОЖЕНИЦА 	Прибор для приготовления мороженого
МОРОЖЕНОЕ 	Замороженное сладкое кушанье из сливок, сахара, сока ягод, ароматических веществ
МОРОЖЕНЩИК 	Продавец мороженого
МОРОЗИЛКА 	Морозильная камера в холодильнике; отдельная небольшая морозильная камера
МОРОЗИЛЬНИК 	Морозильная камера
МОРОШКА 	Болотное травянистое растение сем. розоцветных со съедобными рыжевато-желтыми душистыми ягодами, а также ягоды его
МОРС 	Прохладительный сладкий напиток из разбавленного водой сока ягод или плодов
МОРТИРА 	Короткоствольное артиллерийское орудие,.
МОРФЕМА 	В языкознании: минимальная значимая часть слова (корень, приставка, суффикс, постфикс)
МОРФИНИЗМ 	Болезненное пристрастие к морфину, морфию как наркотику.
МОРФИНИСТ 	Наркоман, страдающий морфинизмом
МОРФОЛОГИЯ 	В названиях нек-рых естественных наук: строение, форма
МОРЩИНА 	Складка, бороздка на; коже лица, тела, а также складка, неров-; ность на поверхности чего-н
МОСКАЛИ 	На Украине и в Белоруссии: прозвище русских, а также (стар.) солдат
МОСКИТ 	Мелкое двукрылое насекомое южных стран, причиняющее болезненные укусы
МОСЛАК 	То же, что мосол
МОСОЛ 	Кость (обычно большая, выступающая под кожей)
МОСТ 	Сооружение для перехода, переезда через реку, овраг, железнодорожный путь, какие-н. препятствия
МОСТИК 	На судне, на больших машинах, агрегатахвысоко расположенная огражденная площадка для управления, наблюдения
МОСТОВИК 	Специалист по постройке мостов
МОСТОПОЕЗД 	Специальный поезд для ремонта и строительства мостов и путепроводов
МОТ 	Расточительный человек, тот, кто мотает2 свои деньги, имущество
МОТАЛКА 	Приспособление для наматывания чего-н
МОТИВИРОВКА 	Совокупность мотивов, доводов для обоснования чего-н
МОТОБОЛ 	Спортивная командная игра: род футбола на мотоциклах, а также соответствующий вид спорта
МОТОВСТВО 	Поведение мота, расточительность
МОТОГОНКИ 	Гонки на мотоциклах
МОТОПЕД 	То же, что мопед
МОТОПЕХОТА 	Моторизованная пехота
МОТОПЕХОТИНЕЦ 	Военнослужащий мотопехоты
МОТОРИКА 	Двигательная активность
МОТОРОЛЛЕР 	Разновидность мотоцикла с колесами малого диаметра, с двигателем, расположенным позади седла или под ним
МОТОЦИКЛИСТ 	Ездок на мотоцикле; спорт.
МОТЫГА 	Ручное земледельческое орудие для рыхления, копки металлический или каменный наконечник, насаженный под углом на длинную рукоятку
МОТЫЛЕК 	Небольшая бабочка
МОТЫЛЬ 	Личинка комара, служащая наживкой при ловле рыбы на удочку или для кормления аквариумных рыб
МОХ 	Стелющееся или прямо стоящее споровое растение, обычно растущее в сырых местах на земле, на деревьях, на камнях
МОХОВИК 	Съедобный трубчатый гриб с бархатистой шляпкой
МОЧА 	Выделяемая почками жидкость, содержащая воду и отработанные организмом вещества
МОЧАЛКА 	Пучок мочал или каких-н. волокон, употр. для мытья, стирания грязи, протирки; вообще мягкое изделие, предназначенное для мытья
МОЧАЛО 	Вымоченная лубяная часть коры молодой липы, разделенная на узкие полоски - волокна, идущие на изготовление рогожи, кулей
МОЧЕИСПУСКАНИЕ 	Испускание мочи
МОЧЕОТДЕЛЕНИЕ 	Выделение мочи из организма
МОЧЕТОЧНИК 	Выводной проток почки, соединяющий почечную лоханку с мочевым пузырем
МОШЕННИК 	Человек, к-рый занимается мошенничеством, плут, жулик
МОШЕННИЧЕСТВО 	Обман, жульнические действия с корыстной целью
МОШНА 	Мешочек для хранения денег
МОШОНКА 	Кожно-мышечное образование, мешочек, где находятся мужские половые железы
МОЩНОСТЬ 	Физическая величина, характеризующая работу
МОЩЬ 	Могущество, сила
МРАЗЬ 	О ком-н. дрянном, ничтожном
МРАКОБЕСИЕ 	Взгляды и поведение мракобеса
МСТИТЕЛЬ 	Тот, кто мстит, отомстил
МУАР 	Плотная шелковая ткань с волнообразными цветовыми переливами
МУДРЕЦ 	Мудрый человек
МУДРОСТЬ 	Глубокий ум, опирающийся на жизненный опыт
МУЖЕСТВО 	Храбрость, присутствие духа в опасности
МУЖИК 	Крестьянин (в противопоставлении горожанину) (устар.)
МУЖЧИНА 	Лицо, противоположное женщине по полу
МУЗА 	В греческой мифологии: богиня - покровительница искусств и наук
МУЗЕЕВЕД 	Специалист по музееведению
МУЗЕЕВЕДЕНИЕ 	Наука об истории музеев, их назначении и организации
МУЗЕИ 	Учреждение, занимающееся собиранием, изучением, хранением и экспонированием предметов - памятников естественной истории, материальной и духовной культуры, а также просветительской и популяризаторской деятельностью
МУЗЫКА 	Искусство, отражающее действительность в звуковых художественных образах, а также сами произведения этого искусства
МУЗЫКАНТ 	Артист, играющий на музыкальном инструменте, а также вообще человек, занимающийся такой игрой
МУЗЫКОВЕД 	Специалист по музыковедению
МУЗЫКОВЕДЕНИЕ 	Раздел искусствоведения, изучающий историю и теорию музыки, музыкальную культуру народов
МУКА 	Размолотые в порошок зерна
МУКА 	Сильное физическое или нравственное страдание
МУКСУН 	Северная пресноводная рыба, родственная сигу
МУЛ 	Домашнее животное, помесь осла и кобылы
МУЛАТ 	Потомок от брака белого человека и негра
МУЛИЦА 	Самка мула
МУЛЛА 	У мусульман: служитель культа
МУЛЬТИМИЛЛИОНЕР 	Миллионер, обладающий многомиллионным состоянием
МУЛЬТИПЛИКАТОР 	Устройство для усиления действия какого-н. механизма, а также вообще для усиления че-го-н. (спец.)
МУЛЬТИПЛИКАЦИЯ 	Киносъемка рисунков или кукол, изображающих отдельные моменты движения, а также фильм, полученный такой съемкой. ll прил. мультипликационный, -ая, -ое
