АБАЖУР 	Колпак для лампы, светильника
АЛЛОПАТИЯ 	Обычная система лечения, называемая так в противоп. гомеопатии
АЛЛЮР 	Способ хода, бега лошади (шагом, рысью, галопом, иноходью, в карьер)
АЛОЭ 	Южное растение сем. лилейных с толстыми мясистыми листьями, разводимое у нас в комнатных условиях как лекарственное или декоративное
АЛТАИЦЫ 	Народ, составляющий коренное население Горного Алтая
АЛТЫН 	В старину: три копейки (род. мн. -ын), а также монета в три копейки (род. мн. -ов)
АЛФАВИТ 	Совокупность букв или других знаков данной системы письма
АЛХИМИЯ 	Донаучное направление в химии: изыскание способов превращать простые металлы в драгоценные при помощи фантастического философского камня, поиски эликсира долголетия
АЛЫЧА 	Южное плодовое дерево, родственное сливе, а также плод его
АЛЬБИНОС 	Живое существо, волосяной (перьевой, шерстный) покров к-рого лишен пигментов
АЛЬКОВ 	Углубленная часть комнаты, обычно для кровати
АЛЬМАНАХ 	Непериодический литературный сборник произведений разных писателей
АЛЬПИНАРИИ 	Участок сада или парка - искусственная каменистая горка, на к-рой выращиваются горные растения
АЛЬПИНИАДА 	Учебно-спортивные или юбилейные сборы альпинистов
АЛЬПИНИЗМ 	Вид спорта - восхождение на труднодоступные горные вер-1 шины
АЛЬТ 	Низкий женский или детский голос (у мальчика)
АЛЬТЕРНАТИВА 	Необходимость выбора одного из двух (или нескольких) возможных решений
АЛЬТИСТ 	Музыкант, играющий на альте
АЛЬТРУИЗМ 	Готовность бескорыстно действовать на пользу другим, не считаясь со своими интересами
АЛЬФА 	Название первой буквы греческого алфавита
АЛЬЯНС 	Союз, объединение
АЛЮМИНИИ 	Химический элемент, серебристо-белый легкий ковкий металл, получаемый электролизом глинозема
АМАЗОНКА 	В греческой мифологии: всадница-воительница
АМАЛЬГАМА 	Жидкий, полужидкий или твердый сплав ртути с др. металлами (спец.)
АМБАЛ 	Большой и сильный человек, обычно с примитивным интеллектом
АМБАР 	Строение для хранения зерна, муки, припасов, а также товаров
АМБИЦИЯ 	Обостренное самолюбие, а также спесивость, чванство
АМБРАЗУРА 	Отверстие в оборонительном сооружении или бронебашне для ведения огня
АМБРОЗИЯ 	В греческой мифологии: пища богов
АМБУЛАТОТИЯ 	Лечебница для приходящих больных и оказания помощи на дому
АМЕБА 	Простейшее одноклеточное животное
АМЕРИКАНИСТИКА 	Совокупность наук, изучающих историю, языки, литературу и культуру народов Америки
АМЕРИКАНЦЫ 	Народ, составляющий основное население Соединенных Штатов Америки
АМЕТИСТ 	Драгоценный камень фиолетового или голубовато-фиолетового цвета, разновидность кварца
АМИНОКИСЛОТЫ 	Класс органических соединений, обладающих свойствами и кислот, и оснований
АММИАК 	Бесцветный газ с едким запахом, соединение азота с водородом
АММОНАЛ 	Взврывчатое вещество
АММОНИИ 	Не существующее в свободном виде соединение атомов азота и водорода, обладающее химическими свойствами металлов
АМНИСТИЯ 	Частичное или полное освобождение от судебного наказания определенной категории лиц, производимое верховной властью
АМОРАЛКА 	Аморальное поведение в быту
АМОРТИЗАТОР 	Приспособление для амортизации
АМОРТИЗАЦИЯ 	Постепенное снижение ценности имущества вследствие его изнашивания
АМПЕР 	Единица силы электрического тока
АМПЕРМЕТР 	Прибор для измерения силы электрического тока
АМПЛУА 	Тип актерских ролей
АМПУЛА 	Герметически запаянный сосуд для хранения чего-н
АМУЛЕТ 	Предмет, носимый на теле и считаемый магическим средством против болезни, несчастья
АМФИБИЯ 	Позвоночное животное, дышащее в раннем возрасте жабрами, а во взрослом состоянии легкими
АМФИБРАХИИ 	Трехсложная стихотворная стопа с ударением на втором слоге
АМФИТЕАТР 	В Древней Греции и Риме: сооружение для зрелищ, в к-ром места для зрителей возвышаются полукругом
АМФОРА 	В античности: большой, с узким горлом и двумя ручками, сосуд для хранения вина, масла, зерна
АНАКОНДА 	Очень крупная змея сем. удавов, обитающая по берегам рек, озер.II прил. анакондовый, -ая, -ое
АНАЛИЗ 	Метод исследования путем рас.
АНАЛИТИК 	Человек, умеющий хорошо анализировать, склонный к аналитическому мышлению
АНАЛОГ 	Нечто сходное, подобное чему-н
АНАЛОГИЯ 	Сходство в каком-н. отношении между явлениями, предметами, понятиями
АНАЛОИ 	Высокий столик с покатым верхом, на к-рый в церкви кладут иконы, книги, крест
АНАМНЕЗ 	Совокупность медицинских сведений, получаемых путем опроса обследуемого, знающих его лиц
АНАПЕСТ 	Трехсложная стихотворная стопа с ударением на последнем слоге
АНАРХИЗМ 	Общественно-политическое течение, проповедующее анархию, отрицающее всякую государственную власть, организованную политическую борьбу
АНАРХИСТ 	Сторонник анархизма, член анархической организации
АНАРХИЯ 	Безвластие, отсутствие всякого управления
АНАТОМИЯ 	Наука о строении организмов
АНАФЕМА 	В христианстве: церковное проклятие за грехи против церкви, за поношение веры
